decision_id,repository,foundation_id,observed_change,affected_decision,decision_owner,disposition_no_change_update_replace_retire,implementation_or_test_delta,claim_ceiling,review_trigger,date,candidate_commit,notes
AE-AQ-H2-2026-08-09,RLTree/agentic-engineering,current-2026-08-08,"AQ2 and AQ3 complete batches both failed the precision, must-not-select, and reference-isolation gate family; AQ3 eliminated stacking but did not qualify either condition",AQ activation selector mechanism,root conductor,replace,"Retire H1; adopt a closed decision-atom classifier with deterministic parent-owned adviser mapping and require a fresh blinded AQ4 corpus before execution",Unattested deterministic AQ telemetry only; no activation pass,Fresh AQ4 aggregate or selector/corpus contract change,2026-08-09,f09a0544acf4b7a95fff796434273511a0683ca9,"AQ3 corpus ee7be80441ce06e53615df74505a1b4549a4aa90 is consumed and no-replay; AS remains blocked"
AE-AQ4-INFRA-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"AQ4 parsed one selector response then stopped before observation construction on a runner field-path KeyError; no score or aggregate exists",AQ qualification execution custody,root conductor,update,"Mark corpus F consumed and no-replay; repair top-level reference_triggers handling and require a fresh independently authored blinded AQ5 corpus before testing unchanged H2",Canary parser and argv acceptance plus infrastructure-failure custody only; no AQ or runtime claim,Fresh AQ5 exact-candidate canary and aggregate or evaluator contract change,2026-08-10,8b43cb5faa6349ce2917402c6078af6c1ec0f671,"Corpus F f110be6ccb3460719141fea74b2fdb4313924718 / ed3a0ee0afeb32f25033620519658b7b4774068c is consumed and no-replay; H2 remains untested; AS remains blocked"
AE-AQ5-H2-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"AQ5 returned a valid aggregate-only failure for both conditions: TP 37, FP 1, FN 1, precision/recall 0.973684, exactly-two 1/2, must-not-select 1, and reference-load 39/40",AQ activation selector mechanism,root conductor,replace,"Retire H2 for AQ qualification; require a genuinely changed H3 mechanism and a fresh independently authored blinded AQ6 holdout before execution",AQ aggregate failure only; no activation pass or raw/provider/runtime/product/promotion claim,AQ6 exact-candidate canary and aggregate or materially changed evaluator contract,2026-08-10,f9b15f5b6f415364e9f4cf7df4dce4f000b08bbb,"Corpus G 39fd55df96e99e38d51d5fee13faa6b6294f9c43 / b7b9eb94ffe14a59e924ac2c40926e1a2dc513dd is consumed and no-replay; runner-local raw persistence false; provider retention unknown; AS blocked"
AE-AQ6-H3-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"AQ5 showed one bounded H2 behavioral failure but did not diagnose a case-level cause",AQ activation selector mechanism,root conductor,replace,"Freeze H3 before AQ6 authoring: model emits only a 12-fact vector; deterministic parent applies positive predicates, exclusions, uncertainty, explicit grammar, cardinality, adviser mapping and references","Structural H3 proposal only; no qualification, runtime, provider, product or promotion claim",Fresh independently authored blinded AQ6 corpus and exact-candidate aggregate,2026-08-10,ccbe06be9a2ef5feca4104b6918985ee9c4527c0,"H3 authority tree dd20449fdc45a73c55adb349d8c828687728ef4d; AQ5/G remains no-replay; AS blocked"
AE-AQ6-H3-REF-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"The initial AQ6 draft reused frozen reference labels as parent inference inputs, which would make the evaluator labels an oracle",AQ6 parent-owned reference resolution,root conductor,update,"Freeze a corpus-independent owner-qualified first-present fact-to-trigger policy and deterministic minimum-cover resolver; keep corpus reference labels grading-only","Structural deterministic reference-policy proposal only; no qualification, runtime, provider, product or promotion claim",AQ6 exact-candidate zero-model preflight and authorized canary plus aggregate,2026-08-10,c4e661a926e0ace78d9da83f71d9c52d311abb72,"Reference-policy tree f2abb05d32a888c9054ef2e7ab3ad0f08547de88; exact H3/base custody bound; no corpus inputs permitted; AS blocked"
AE-AQ6-PREFLIGHT-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"Exact frozen H3/reference-policy reachability proved 31 of 72 corpus-H atom/reference tuples impossible before canary; no model call occurred",AQ6 corpus/evaluator compatibility,root conductor,replace,"Retire corpus H from execution while preserving it as immutable pre-execution evidence; require a fresh blinded AQ7 corpus with hidden expected facts and mechanically derived atom/reference labels","Zero-model compatibility failure only; no activation, runtime, provider, model, product or promotion claim",Fresh AQ7 corpus-contract validation and exact-candidate canary plus aggregate,2026-08-10,4ba09a422b5485a885c7e12409dae84639bdb513,"Corpus-H tree 937c6ed971a4c58049ed3a5f8ee891f5d6b5809a remains runtime-unconsumed but execution-ineligible; H3 remains behaviorally untested; AS blocked"
AE-AQ7-CI1-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"AQ6 proved its corpus/evaluator contract incompatible before any model observation, while an otherwise condition-identical H3 packet would not test a real current-versus-reduced intervention",AQ7 condition intervention,root conductor,update,"Freeze a corpus-blind mechanical adapter that projects the frozen current and reduced decision catalogs into distinct anonymous predicate guidance; keep task text, output schema, parent resolver, tools and host contract identical","Structural condition-input proposal only; no qualification, runtime, provider, model, product, package-efficacy or promotion claim",AQ7 exact-candidate zero-model preflight and authorized canary plus aggregate,2026-08-10,ca046add50cdececfdbe14fe897d27a538431d55,"AQ7 corpus 4a8efb300a1cd26a72d8ac3bef1d1ba5250481ee / 753d15a7b7dceacca7e66d39ab42fe89d94b237b is unconsumed; validator 3e8cfc7d5a1350762b486f000446a8a4c4d4c6d4; one-shot index f63670dda7e5bba4127ce59750844b52e35835fb; H3 remains behaviorally untested; AS blocked"
AE-AQ7-H3-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"AQ7 canary passed and all 80 presentations completed against exact candidate 9d7c8d05; the candidate-bound aggregate status was failed with digest 946f63a9e9f8c3d461e92f019b1e96ff4bed0f477d5fdf043b0aebe346626661",AQ activation selector mechanism,root conductor,replace,"Retire H3/CI-1 for AQ qualification; require a materially changed H4 mechanism and a fresh independently authored blinded AQ8 holdout before any further execution","Exact aggregate-only AQ failure; no per-gate, raw, provider, runtime, sandbox, product or promotion claim",Fresh AQ8 changed-hypothesis authority and exact-candidate aggregate,2026-08-10,9d7c8d05fdd3c294fe8484fd5483feedbddbb83c,"Corpus I 4a8efb300a1cd26a72d8ac3bef1d1ba5250481ee / 753d15a7b7dceacca7e66d39ab42fe89d94b237b is consumed and no-replay; runner-local raw persistence false; provider retention unknown; AS blocked"
AE-AQ8-H4-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"AQ7 established one exact aggregate-only H3/CI-1 failure without per-gate or case-level diagnostics",AQ activation selector mechanism,root conductor,replace,"Freeze H4 before any AQ8 corpus: model emits an anonymous unresolved-decision graph; a deterministic parent validates the strict partial order, selects graph roots, applies explicit syntax and cardinality, maps roots to advisers and resolves owner-qualified references","Structural H4 proposal only; no qualification, runtime, provider, model, sandbox, product, efficacy, promotion, authority or effect claim",Fresh independently authored blinded AQ8 corpus and exact-candidate canary plus aggregate,2026-08-10,d6f9e6089e6e11f158a2d3bf4af717fc026548d4,"H4 authority tree 6b65ea1e125836c9ae684e869f1156e5750c7a0b; frozen before AQ8 corpus or outcomes; corpus I and the AQ7 aggregate/outcome are no-tuning and no-replay evidence only; complete AQ8 failure is terminal AQ stop absent pre-frozen independent evidence; AS blocked"
AE-AQ8-GATES-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"H4 named eight primary diagnostics but fixed only graph-validity exactness, leaving seven numeric thresholds and the later execution-integrity mapping unset",AQ8 qualification gate authority,root conductor,update,"Freeze a closed noncompensatory gate contract before AQ8 authoring: predeclared behavioral floors, exact graph/cap/reference/authority/integrity gates, both-condition global AND, 80 unique presentations, and terminal AQ8 failure","Structural gate-authority proposal only; no corpus, qualification, runtime, provider, model, sandbox, product, efficacy, promotion, authority or effect claim",Fresh AQ8 corpus contract and exact-candidate zero-model scorer proof,2026-08-10,953651815e76c56f0cf8d23d9eae9ef6a480726f,"Gate tree 83c5aa7ecd3930733071e509ba56d307ae49aa59; exact H4 d6f9e608 binding; frozen before any AQ8 cases or results; no AQ7/AQ8 outcome tuning; complete AQ8 failure remains terminal; AS blocked"
